day;article_number;polarity
23_04_2016;article_9;-0.08784722222222222
23_04_2016;article_10;0.07859623015873016
23_04_2016;article_11;0.020833333333333336
23_04_2016;article_12;0.20232057416267943
23_04_2016;article_13;0.007083333333333336
23_04_2016;article_14;-0.0038020833333333535
23_04_2016;article_15;-0.025974025974025972
23_04_2016;article_16;0.08550830889540569
23_04_2016;article_17;0.0720164609053498
23_04_2016;article_18;0.10944444444444443
23_04_2016;article_19;0.09333333333333334
23_04_2016;article_20;0.015314940791131267
24_04_2016;article_1;0.1722222222222222
24_04_2016;article_2;0.02754629629629629
24_04_2016;article_3;0.12468805704099824
24_04_2016;article_4;0.07859623015873016
24_04_2016;article_5;-0.08784722222222222
24_04_2016;article_6;0.12468805704099824
24_04_2016;article_7;0.02754629629629629
24_04_2016;article_8;0.1722222222222222
24_04_2016;article_9;-0.08784722222222222
24_04_2016;article_10;0.07859623015873016
24_04_2016;article_11;0.020833333333333336
24_04_2016;article_12;0.20232057416267943
24_04_2016;article_13;0.007083333333333336
24_04_2016;article_14;-0.0038020833333333535
24_04_2016;article_15;-0.025974025974025972
24_04_2016;article_16;0.08550830889540569
24_04_2016;article_17;0.0720164609053498
24_04_2016;article_18;0.10944444444444443
24_04_2016;article_19;0.09333333333333334
24_04_2016;article_20;0.015314940791131267
25_04_2016;article_1;0.009523809523809528
25_04_2016;article_2;0.10920745920745922
25_04_2016;article_3;0.1547077922077922
25_04_2016;article_4;0.11732093663911848
25_04_2016;article_5;-0.06493055555555555
25_04_2016;article_6;0.1547077922077922
25_04_2016;article_7;0.10920745920745922
25_04_2016;article_8;0.009523809523809528
25_04_2016;article_9;0.11732093663911848
25_04_2016;article_10;-0.06493055555555555
25_04_2016;article_11;0.11776094276094279
25_04_2016;article_12;0.02754629629629629
25_04_2016;article_13;0.1722222222222222
25_04_2016;article_14;-0.08784722222222222
25_04_2016;article_15;0.07859623015873016
25_04_2016;article_16;0.023148148148148154
25_04_2016;article_17;0.20232057416267943
25_04_2016;article_18;0.10944444444444443
25_04_2016;article_19;0.09333333333333334
25_04_2016;article_20;0.015314940791131267
26_04_2016;article_1;0.23196649029982364
26_04_2016;article_2;0.05595730027548209
26_04_2016;article_3;0.036231884057971016
26_04_2016;article_4;0.20454545454545453
26_04_2016;article_5;0.1523391812865497
26_04_2016;article_6;0.05595730027548209
26_04_2016;article_7;0.036231884057971016
26_04_2016;article_8;0.20454545454545453
26_04_2016;article_9;0.23196649029982364
26_04_2016;article_10;0.1523391812865497
26_04_2016;article_11;0.139237012987013
26_04_2016;article_12;0.10920745920745922
26_04_2016;article_13;0.009523809523809528
26_04_2016;article_14;0.11732093663911848
26_04_2016;article_15;-0.06493055555555555
26_04_2016;article_16;0.12468805704099824
26_04_2016;article_17;0.02754629629629629
26_04_2016;article_18;-0.061111111111111095
26_04_2016;article_19;0.06888888888888889
26_04_2016;article_20;0.015314940791131267
27_04_2016;article_1;0.004375
27_04_2016;article_2;0.012500000000000013
27_04_2016;article_3;-0.013636363636363627
27_04_2016;article_4;0.16015254586683159
27_04_2016;article_5;0.1344949494949495
27_04_2016;article_6;-0.018690476190476174
27_04_2016;article_7;0.07130895420369104
28_04_2016;article_1;0.011858974358974369
28_04_2016;article_2;0.1299707602339181
28_04_2016;article_3;-0.028067632850241542
28_04_2016;article_4;0.17797619047619048
28_04_2016;article_5;0.13446969696969696
29_04_2016;article_1;-0.008333333333333337
29_04_2016;article_2;0.01519607843137255
29_04_2016;article_3;0.23839531680440773
29_04_2016;article_4;0.09324769433465085
29_04_2016;article_5;0.10714285714285714
29_04_2016;article_6;0.01519607843137255
29_04_2016;article_7;-0.008333333333333337
29_04_2016;article_8;0.09324769433465085
29_04_2016;article_9;0.07626262626262625
29_04_2016;article_10;0.23839531680440773
29_04_2016;article_11;0.09948979591836735
29_04_2016;article_12;0.13446969696969696
29_04_2016;article_13;0.17797619047619048
29_04_2016;article_14;-0.028067632850241542
29_04_2016;article_15;0.1299707602339181
29_04_2016;article_16;0.011858974358974369
29_04_2016;article_17;0.07130895420369104
29_04_2016;article_18;-0.043333333333333335
29_04_2016;article_19;0.05740740740740741
29_04_2016;article_20;0.015314940791131267
30_04_2016;article_1;0.19667824074074072
